iter	Passed	Remaining
0	254	253792
1	256	127754
2	257	85706
3	260	64741
4	285	56810
5	287	47605
6	289	41069
7	291	36129
8	293	32289
9	299	29635
10	301	27085
11	303	24955
12	304	23156
13	307	21636
14	312	20543
15	314	19359
16	316	18327
17	318	17399
18	321	16581
19	323	15829
20	330	15420
21	332	14791
22	335	14232
23	337	13704
24	338	13217
25	345	12931
26	347	12507
27	348	12110
28	350	11740
29	352	11397
30	358	11221
31	360	10915
32	363	10652
33	365	10380
34	367	10121
35	368	9879
36	375	9780
37	377	9560
38	379	9356
39	381	9162
40	383	8973
41	389	8892
42	391	8716
43	393	8546
44	395	8384
45	396	8232
46	402	8161
47	404	8019
48	406	7889
49	408	7760
50	410	7634
51	412	7512
52	419	7488
53	420	7374
54	422	7263
55	425	7173
56	427	7070
57	429	6970
58	431	6886
59	433	6797
60	435	6710
61	437	6623
62	439	6542
63	445	6520
64	447	6440
65	450	6369
66	451	6292
67	453	6217
68	456	6164
69	458	6096
70	460	6027
71	463	5970
72	466	5923
73	472	5911
74	475	5870
75	477	5809
76	479	5749
77	481	5691
78	488	5690
79	489	5634
80	492	5582
81	493	5529
82	494	5465
83	496	5413
84	499	5379
85	501	5332
86	503	5284
87	544	5643
88	546	5592
89	548	5543
90	550	5503
91	552	5457
92	559	5460
93	561	5414
94	563	5368
95	566	5331
96	568	5288
97	573	5275
98	576	5245
99	579	5211
100	581	5171
101	582	5131
102	584	5092
103	598	5158
104	600	5119
105	608	5128
106	610	5092
107	612	5056
108	615	5032
109	624	5049
110	626	5013
111	628	4979
112	629	4944
113	631	4909
114	641	4935
115	647	4937
116	660	4982
117	662	4949
118	664	4921
119	671	4924
120	674	4901
121	676	4866
122	678	4834
123	679	4803
124	710	4973
125	712	4943
126	720	4950
127	722	4924
128	724	4893
129	727	4865
130	728	4834
131	736	4845
132	738	4815
133	740	4785
134	744	4767
135	752	4781
136	754	4752
137	757	4728
138	758	4700
139	766	4708
140	768	4680
141	770	4653
142	772	4626
143	773	4600
144	775	4575
145	784	4589
146	786	4563
147	788	4538
148	790	4514
149	792	4489
150	795	4470
151	797	4447
152	799	4426
153	801	4403
154	815	4445
155	817	4421
156	818	4397
157	833	4442
158	835	4419
159	843	4425
160	844	4398
161	846	4376
162	847	4354
163	850	4334
164	857	4338
165	859	4318
166	878	4380
167	881	4364
168	883	4346
169	889	4340
170	890	4319
171	892	4298
172	894	4277
173	902	4286
174	907	4275
175	908	4255
176	910	4235
177	922	4258
178	925	4242
179	927	4224
180	937	4244
181	939	4224
182	941	4204
183	948	4206
184	950	4188
185	954	4178
186	956	4159
187	958	4140
188	971	4168
189	974	4156
190	985	4175
191	987	4156
192	989	4137
193	997	4145
194	999	4126
195	1005	4123
196	1007	4105
197	1017	4121
198	1019	4103
199	1023	4094
200	1031	4100
201	1033	4082
202	1036	4069
203	1038	4052
204	1063	4124
205	1067	4114
206	1071	4105
207	1078	4105
208	1082	4098
209	1084	4080
210	1086	4063
211	1093	4064
212	1096	4050
213	1099	4039
214	1101	4022
215	1103	4004
216	1130	4079
217	1132	4062
218	1134	4045
219	1136	4028
220	1140	4021
221	1154	4046
222	1158	4036
223	1161	4024
224	1172	4038
225	1174	4022
226	1176	4005
227	1189	4028
228	1192	4013
229	1194	3998
230	1202	4004
231	1204	3988
232	1206	3972
233	1210	3963
234	1215	3955
235	1217	3939
236	1219	3924
237	1227	3929
238	1229	3915
239	1232	3903
240	1234	3888
241	1236	3873
242	1247	3884
243	1251	3877
244	1263	3892
245	1264	3877
246	1267	3862
247	1268	3847
248	1271	3833
249	1276	3828
250	1286	3838
251	1300	3859
252	1303	3848
253	1305	3834
254	1308	3821
255	1315	3823
256	1418	4099
257	1420	4084
258	1422	4068
259	1424	4052
260	1432	4055
261	1434	4040
262	1436	4024
263	1438	4009
264	1440	3994
265	1447	3994
266	1449	3979
267	1451	3964
268	1453	3949
269	1455	3934
270	1461	3932
271	1463	3918
272	1465	3903
273	1468	3891
274	1470	3876
275	1472	3861
276	1481	3865
277	1482	3851
278	1486	3841
279	1488	3826
280	1495	3827
281	1498	3814
282	1500	3800
283	1502	3787
284	1509	3787
285	1511	3774
286	1513	3760
287	1515	3747
288	1528	3759
289	1529	3745
290	1531	3731
291	1533	3718
292	1535	3705
293	1543	3705
294	1545	3692
295	1548	3681
296	1549	3668
297	1557	3669
298	1560	3657
299	1562	3645
300	1564	3632
301	1566	3619
302	1575	3623
303	1577	3611
304	1579	3599
305	1582	3588
306	1590	3589
307	1593	3580
308	1595	3568
309	1598	3557
310	1606	3558
311	1608	3547
312	1611	3536
313	1613	3525
314	1622	3528
315	1625	3517
316	1626	3505
317	1629	3494
318	1636	3494
319	1638	3482
320	1640	3470
321	1642	3459
322	1644	3447
323	1646	3435
324	1653	3433
325	1655	3422
326	1658	3412
327	1660	3401
328	1662	3390
329	1670	3391
330	1672	3380
331	1674	3369
332	1677	3360
333	1684	3358
334	1686	3347
335	1688	3336
336	1690	3325
337	1691	3313
338	1693	3302
339	1700	3301
340	1702	3290
341	1704	3279
342	1706	3269
343	1708	3258
344	1717	3260
345	1719	3249
346	1720	3238
347	1724	3230
348	1731	3229
349	1733	3219
350	1735	3208
351	1737	3197
352	1739	3187
353	1746	3187
354	1748	3176
355	1750	3166
356	1752	3156
357	1754	3146
358	1756	3136
359	1764	3137
360	1766	3127
361	1768	3117
362	1771	3108
363	1779	3109
364	1783	3102
365	1785	3093
366	1787	3083
367	1795	3084
368	1797	3074
369	1801	3066
370	1803	3057
371	1812	3059
372	1814	3050
373	1816	3040
374	1819	3032
375	1821	3022
376	1823	3013
377	1825	3004
378	1827	2994
379	1830	2985
380	1837	2985
381	1840	2977
382	1843	2969
383	1845	2960
384	1854	2962
385	1856	2953
386	1860	2946
387	1871	2952
388	1873	2942
389	1876	2934
390	1878	2925
391	1886	2925
392	1888	2917
393	1892	2910
394	1894	2900
395	1907	2909
396	1910	2901
397	1920	2904
398	1922	2895
399	1924	2886
400	1925	2876
401	1934	2877
402	1936	2868
403	1939	2860
404	1940	2851
405	1942	2841
406	1950	2842
407	1953	2833
408	1955	2825
409	1957	2817
410	1972	2826
411	1998	2852
412	2000	2843
413	2002	2834
414	2004	2825
415	2006	2816
416	2013	2815
417	2016	2807
418	2018	2798
419	2019	2789
420	2021	2780
421	2028	2778
422	2031	2771
423	2033	2762
424	2035	2754
425	2037	2745
426	2044	2743
427	2047	2735
428	2049	2728
429	2051	2719
430	2053	2711
431	2059	2707
432	2061	2699
433	2063	2691
434	2065	2683
435	2068	2675
436	2074	2672
437	2076	2663
438	2078	2655
439	2079	2647
440	2082	2639
441	2083	2630
442	2089	2627
443	2091	2619
444	2093	2610
445	2095	2602
446	2097	2595
447	2100	2587
448	2106	2584
449	2107	2576
450	2110	2569
451	2113	2562
452	2115	2554
453	2121	2551
454	2123	2543
455	2125	2535
456	2127	2527
457	2129	2519
458	2131	2512
459	2137	2508
460	2139	2501
461	2140	2493
462	2142	2485
463	2144	2477
464	2147	2470
465	2149	2463
466	2151	2456
467	2153	2448
468	2155	2440
469	2157	2432
470	2159	2425
471	2164	2421
472	2166	2414
473	2168	2406
474	2170	2398
475	2172	2391
476	2174	2383
477	2179	2380
478	2181	2373
479	2183	2365
480	2185	2358
481	2188	2351
482	2191	2345
483	2193	2338
484	2196	2331
485	2199	2325
486	2200	2318
487	2203	2311
488	2205	2304
489	2207	2297
490	2210	2291
491	2212	2284
492	2218	2281
493	2221	2275
494	2223	2267
495	2224	2260
496	2226	2253
497	2228	2246
498	2234	2243
499	2236	2236
500	2238	2229
501	2240	2222
502	2242	2215
503	2243	2208
504	2249	2205
505	2251	2198
506	2253	2191
507	2255	2184
508	2258	2178
509	2260	2171
510	2266	2168
511	2268	2161
512	2269	2154
513	2271	2147
514	2273	2141
515	2275	2134
516	2281	2131
517	2283	2124
518	2286	2118
519	2288	2112
520	2289	2105
521	2291	2098
522	2297	2095
523	2299	2089
524	2301	2082
525	2304	2076
526	2308	2071
527	2311	2066
528	2313	2060
529	2315	2053
530	2317	2047
531	2325	2045
532	2326	2038
533	2330	2033
534	2332	2027
535	2334	2021
536	2341	2018
537	2343	2012
538	2345	2006
539	2348	2000
540	2350	1994
541	2358	1993
542	2374	1998
543	2378	1993
544	2379	1986
545	2381	1980
546	2383	1973
547	2393	1974
548	2395	1967
549	2405	1967
550	2442	1989
551	2444	1983
552	2453	1983
553	2456	1977
554	2459	1971
555	2460	1965
556	2462	1958
557	2464	1952
558	2470	1948
559	2479	1948
560	2481	1941
561	2487	1938
562	2490	1933
563	2492	1927
564	2494	1920
565	2504	1920
566	2507	1914
567	2509	1908
568	2514	1904
569	2520	1901
570	2523	1895
571	2525	1889
572	2526	1883
573	2543	1887
574	2547	1883
575	2549	1877
576	2552	1871
577	2555	1865
578	2567	1866
579	2569	1860
580	2570	1854
581	2575	1850
